Station Code	Station Name	Station Coordinates
KXA	KUANRIYA	"25.130988,74.000473"
KXB	KANJAI	"24.330987,78.169072"
KXD	KOKALDA	"21.02827,77.33448"
KXE	KALIAN CHAK	"25.03475,87.736988"
KXF	KAMPIL ROAD	"27.567939,79.265327"
KXG	KHARIA KHANGARH	"26.609863,73.686333"
KXH	KAPURTHALA	"31.366426,75.382304"
KXI	KURUMURTHI	"16.494444,77.862983"
KXJ	KARIMGANJ JN	"24.860467,92.373519"
KXK	KHARKHAUDA	"28.832945,77.738543"
KXL	KAMARBANDHA ALI	"26.529181,94.055972"
KXM	KITHAM	"27.254019,77.817364"
KXN	KANSHBAHAL	"22.215298,84.666309"
KXO	KUDIKADU	"10.775976,79.241982"
KXP	KANIYAPURAM	"8.587302,76.854172"
KXT	KETTI	"11.381679,76.737185"
KXX	KATA ROAD	"20.187779,77.11132"
KXY	KARIYAPATTINAM	"10.453545,79.737139"
KY	KARELI	"22.931994,79.066415"
KYB	KALYAR	"23.122048,87.76969"
KYBR	KHAIRATIYA BH R	"28.272032,81.081505"
KYE	KHURAI	"24.051715,78.331318"
KYF	KAJRAT NAWADIH	"24.591461,84.05056"
KYG	KIDIYANAGA	"23.47974,70.769291"
KYH	KHAIRAH	"25.861193,84.760294"
KYI	KALYANI	"22.969299,88.467579"
KYJ	KAYANKULAM	"9.182176,76.512523"
KYM	KADIYAN	"16.914488,81.832824"
KYN	KALYAN JN	"19.235126,73.13015"
KYNT	KALYANKOT	"29.298675,73.636894"
KYOP	KOTTAPALLI	"18.539675,79.403"
KYP	KALYANPUR	"22.343566,88.414707"
KYQ	KAMAKHYA	"26.156054,91.689405"
KYR	KARUPPATTI	"10.044585,77.948513"
KYS	KUSUMKASA	"20.637403,81.087942"
KYSD	KAIYAL SEDHAVI	"23.427024,72.428741"
KYT	KAILAHAT	"25.154763,82.947121"
KYV	KOYILVENNI	"10.776144,79.368496"
KYW	KARCHHUE	"26.23461,84.184542"
KYX	KARHIYA BHADELI	"23.858524,79.504623"
KYY	KARIHA	"31.146198,76.067963"
KYZ	KIZHA PULIYUR	"8.956764,77.323451"
KZA	KHADA	"27.182806,83.868256"
KZB	KURUMBUR	"8.585265,78.03915"
KZC	KULUKKALUR	"10.867867,76.239023"
KZE	KANHANGAD	"12.319878,75.084858"
KZH	KILA ZAFARGARH	"29.086477,76.423302"
KZI	KHANDRAWALI	"29.324234,77.292809"
KZJ	KAZIPET JN	"17.974161,79.510975"
KZJE	KZJ E CABIN	"17.975957,79.561443"
KZJF		"17.975304,79.577751"
KZJT	KAZIPET TOWN	"17.983631,79.518185"
KZK	KAZHAKUTTAM	"8.556238,76.872625"
KZQ	KHIMEL	"25.300579,73.279967"
KZS	KUAKHERA HALT	"28.546151,78.766197"
KZT	KULITTHURAI	"8.301868,77.218337"
KZTW	KULITTURAI WEST	"8.323524,77.209582"
KZU	KUNKI	"22.875543,86.067367"
KZW	KATAR SINGHWALA	"30.15433,75.011044"
KZX	KHUDDA KORALA	"31.729773,75.647564"
KZY	KAYALPATTINAM	"8.567272,78.10009"
LAA	LAKHPAT	"23.597576,71.028731"
LAC	LACHHIPURA	"25.562265,81.773472"
LAD	LOHARDAGA	"23.446317,84.70768"
LAE	LAKHOLI	"21.201377,81.890202"
LAK	LAKHO	"25.41661,86.205254"
LAL	LUSHALA	"21.395221,70.329494"
LAN	LOTANA	"22.523578,73.363867"
LAP	LOHAPUR	"24.302047,87.963409"
LAR	LALITPUR	"24.688122,78.395691"
LAT	LATHI	"21.73949,71.386671"
LAU	LADNUN	"27.64263,74.40568"
LAUL	LAUL	"18.02318,75.392604"
LAV	LABHA	"25.4425,87.739048"
LB	LAIN BAZAR	"0,0"
LBA	LAMBHUA	"26.155438,82.191467"
LBG	LIMBGAON	"19.179058,77.188053"
LBH	DILKUSHA CABIN	"26.83127,80.967007"
LBN	LABAN	"25.574034,76.207695"
LBO	LATABOR	"20.789498,81.26544"
LBTL	LEBUTALA	"22.666611,88.639927"
LBW	LAIBURWA HALT	"27.528519,82.505093"
LBZ	LALBAG BH	"24.509642,85.446682"
LC	LUCKNOW CITY	"26.859069,80.917826"
LCAE	LALBAGH CRT RD	"24.173693,88.246307"
LCH	LINCH	"23.521497,72.350464"
LCNC	LUCKNOW CITY	"26.858954,80.917684"
LCR	LOKUR	"11.928157,78.174419"
LCT	LANGCHOLIET	"25.759392,93.311691"
LD	LONDA JN	"15.450123,74.496832"
LDA	LIDHORA KHURD	"23.852872,78.872223"
LDCY	LODI COLONY	"28.579585,77.216678"
LDD	LADKHED	"20.341247,77.918301"
LDE	LOKDHIKHERA	"21.582743,78.856087"
LDH	LUDHIANA JN	"30.912387,75.847893"
LDK	LADHUKA	"30.49831,74.119434"
LDM	LEDARMER	"25.055279,72.346859"
LDP	LODIPUR BISHNPR	"28.869481,78.717728"
LDR	LANDAURA	"29.814583,77.941647"
LDU	LUNIDHAR	"21.715171,71.085291"
LDW	LADHOWAL	"31.016897,75.785751"
LDX	LADDA	"19.103162,83.412666"
LDY	LAKKITI	"10.753167,76.434417"
LEDO	LEDO	"27.288655,95.725594"
LEK	LAKHAKHERA	"23.758324,80.554676"
LER	LEHRA	"27.160853,83.233752"
LFG	LOWER HAFLONG	"25.191583,93.021498"
LGB	LOHGARH ABUB	"0,0"
LGCE	LAGARGAWAN	"24.464338,80.8144"
LGD	LALLAGUDA	"17.441164,78.525317"
LGDH	LALAGUDA GATE	"17.440775,78.524823"
LGH	LALGARH JN	"28.043728,73.313999"
LGI	LANGAL	"24.854198,92.345066"
LGL	LALGOLA	"24.421362,88.257723"
LGN	LEHGAON	"20.953905,77.327614"
LGO	LALGOPALGANJ	"25.642145,81.630135"
LGRE	LINGIRI	"16.670009,77.188718"
LGT	LANGTING	"25.4974,93.110075"
LGTR	LINGARAJ TMP RD	"20.234657,85.815582"
LH	LAHING	"26.74676,94.444571"
LHA	LEHRA GAGA	"29.938052,75.810299"
LHB	LAHABON	"24.630166,86.606255"
LHBK	LOTHAL BHURKHL	"22.55283,72.222233"
LHD	LOHOGAD	"20.467546,77.078876"
LHL	LAHOAL	"27.45257,94.999595"
LHLL	LAHLI	"28.854597,76.445618"
LHM	LEHRA MUHABBAT	"30.236527,75.163307"
LHN	LACHYAN	"17.278776,75.971146"
LHNR	LAKSHMANPUR HALT	"27.532629,82.342529"
LHU	LOHARU	"28.427411,75.801973"
LHW	LOHARWARA	"27.19861,75.67709"
LIG	LINGA	"21.963425,78.936253"
LIJ	LAKSHMIGANJ	"26.927886,83.788261"
LIM	SONALIUM	"15.310347,74.292787"
LIN	LINGAMGUNTLA	"16.440119,80.274353"
LING	LING	"20.361848,77.961388"
LIR	LACHMIPUR	"27.25379,83.378677"
LJN	LUCKNOWJN	"26.831807,80.918427"
LJO	LONGRANGAJAO	"25.121041,92.942104"
LJR	LANJIGARH ROAD	"19.941724,83.40168"
LKA	LANKA	"25.914666,92.958241"
LKB	LING KOTTURU	"25.288008,87.36311"
LKBL	LAKHABAWAL	"22.409005,69.999304"
LKBR	LAKHMIBAI NAGAR	"22.742227,75.858502"
LKD	LAKODARA	"21.991442,73.098564"
LKDU	LANKALAKODERU	"16.534149,81.679316"
LKE	LAKHERI	"25.640134,76.192417"
LKG	LAMSAKHANG	"25.796336,93.046646"
LKJN	LINK JN CABIN	"25.356902,81.841939"
LKK	LYALLPUR KC HLT	"31.311115,75.594521"
LKKA	LAL KUAN	"29.070874,79.516983"
LKKD	LAKKAD KOT	"21.163442,73.602905"
LKMN	LOKMANYA NAGAR	"22.691319,75.847206"
LKMR	LAKSHMIPUR ROAD	"19.003536,83.103848"
LKN	LAKHMINIA	"25.425912,86.309109"
LKNA	LAKHNA	"20.729626,82.662849"
LKNR	LAKHPAT NAGAR	"27.027477,82.284508"
LKO	LUCKNOW	"26.830505,80.925121"
LKPL	LAKDIKAPUL	"17.403718,78.463197"
LKPR	LAKSHMIKANTPUR	"22.109935,88.321838"
LKQ	LAUKAHA BAZAR	"26.542888,86.462703"
LKR	LUCKEESARAI JN	"25.171543,86.092644"
LKS	LUNKARANSAR	"28.493135,73.742895"
LKSH	L NARAYANAPURAM	"16.600333,81.592197"
LKT	HULKOTI	"15.434487,75.531778"
LKU	LAL KUAN	"29.071174,79.517241"
LKW	LAKHEWALI	"30.448304,74.342251"
LKX	LAKSHMIPUR	"23.502922,88.302784"
LKY	LAKHMAPUR	"15.869792,75.627222"
LKZ	LAKADIYA	"23.339734,70.586815"
LLBR	LALBAZAR	"24.5618,92.610111"
LLD	LALAVADI	"21.930227,78.189526"
LLGM	LELIGUMMA	"19.304096,83.208389"
LLH	LILUAH	"22.621181,88.339219"
LLI	LALGUDI	"10.875833,78.813772"
LLJ	LALGANJ	"26.172232,80.973015"
LLP	LALITGRAM	"26.353421,87.044334"
LLPR	LALIT LAKSHMIPR	"26.436915,86.15633"
LLR	LALPUR	"26.318498,79.948196"
LLU	LALRU	"30.479746,76.79409"
LM	LIMBDI	"22.56583,71.789389"
LMA	LAMBIYA	"25.578214,74.585495"
LMB	LIMBARA	"21.431658,73.014622"
LMC	LAKHAMANCHI	"22.57328,71.141968"
LMD	LINGANENIDODDI	"15.399569,77.703037"
LMG	LUMDING JN	"25.750116,93.17668"
LMGF	LUMDING MG	"25.750116,93.17668"
LMK	LIMKHEDA	"22.833544,73.984165"
LMM	LAILAKH MAMLKHA	"25.21954,87.096519"
LMN	LACHHMANPUR	"26.050152,81.256943"
LMNR	LAKSHMIBAI NGR	"22.742306,75.858536"
LMO	LILIYA MOTA	"21.539877,71.372423"
LMP	LAKHIMPUR	"27.947024,80.777235"
LMT	ALMATTI	"16.34625,75.90085"
LMTD	LATEMDA	"0,0"
LMU	LIMARUA	"22.517156,80.355206"
LNA	LAMANA	"26.244464,74.46516"
LNH	LACHHMANGARH SK	"27.832776,75.034304"
LNJ	LANGHNA	"23.456947,72.485733"
LNK	LOHIAN KHAS JN	"31.165112,75.196095"
LNKB	LINK CABIN B	"22.292908,84.969094"
LNKC	LINK CABIN	"22.267493,84.974931"
LNL	LONAVALA	"18.749253,73.408027"
LNN	LONAND	"18.040279,74.189987"
LNO	LOHNA ROAD	"26.220982,86.229157"
LNP	LANGARPETH	"17.084353,74.966755"
LNQ	LAKHNAURIA	"0,0"
LNR	LUNI RICHHA	"23.660563,75.51384"
LNS	LUNSU HALT	"32.018774,76.17953"
LNT	LINGTI	"19.86667,78.901234"
LNW	LAKHANWARA	"21.784369,79.871807"
LNWT	LKO ALAMBAGH W CABIN	"26.828973,80.909144"
LO	LOLIYA	"22.511764,72.166443"
LOA	LORHA	"23.581058,80.751443"
LOD	LEKODA	"23.056278,75.690007"
LOG	LOHGARA	"25.25013,81.72987"
LOGH	LOTTEGOLLAHALLI	"13.043359,77.562447"
LOHA	LOHA	"28.006981,74.619484"
LOK	LOKNATH	"22.871588,88.033791"
LOL	LOLIEM	"0,0"
LOM	LODHMA	"23.230462,85.205669"
LONI	LONI	"18.491331,74.020214"
LOT	LOHRA	"25.318115,82.954845"
LOV	LOVEDALE	"11.382773,76.704655"
LP	LALAPET	"10.95143,78.339343"
LPA	LATIPURA	"22.626054,70.522957"
LPB	LODIPUR BISHANPUR	"28.869481,78.717728"
LPG	LAPANGA	"21.732474,84.03966"
LPH	LOTAPAHAR	"22.617893,85.565901"
LPI	LINGAMPALLI	"17.483084,78.316984"
LPJ	LALPUR JAM	"22.187246,69.954243"
LPJL	LINGAMPET JAGITYAL	"18.782573,78.886728"
LPN	LAOPANI	"26.197649,92.589684"
LPNR	LAJPAT NAGAR	"28.57902,77.243886"
LPR	LILAPUR ROAD	"22.953967,71.862087"
LPTA	LONGPATIA	"27.086639,95.110788"
LPU	LAKHPURI	"20.842609,77.35611"
LPW	LOHARPURWA	"27.082971,83.268814"
LR	LADPURA	"26.504835,74.729176"
LRB	LARABAD	"24.407451,85.562553"
LRD	LAR ROAD	"26.21359,83.909883"
LRI	LIHURI	"18.912782,83.849373"
LRJ	LAKSAR JN	"29.753648,78.019238"
LRU	LALPUR UMRI	"26.429998,76.680536"
LS	LASALGAON	"20.154908,74.226036"
LSD	LUSADIYA	"23.674713,73.415451"
LSE	LASERI	"0,0"
LSG	LAWA SARDARGARH	"25.273106,73.948803"
LSGS	LAVAN SATYAGRHA PH	"22.096456,87.850731"
LSI	LAHERIA SARAI	"26.111053,85.904245"
LSN	LASINA	"20.398537,78.027992"
LSR	LASUR	"19.926151,75.011559"
LSX	LOISINGHA	"20.852917,83.514333"
LT	LAHAVIT	"19.852865,73.815079"
LTA	LAMTA	"22.137088,80.124235"
LTD	LATHIDAD	"22.089696,71.702442"
LTHR	LATEHAR	"23.725012,84.46804"
LTI	LATTERI	"12.967424,79.065685"
LTK	LATHIKATA	"22.132238,84.895391"
LTMD	LATEMDA	"23.095049,85.975056"
LTR	LAKHTAR	"22.872933,71.776257"
LTRR	LATUR ROAD	"18.506064,76.844859"
LTT	LOKMANYATILAK	"19.07025,72.891669"
LTV	LOTARVA	"21.153517,73.202119"
LUA	LALURI KHERA	"28.608109,79.746383"
LUNI	LUNI JN	"26.001716,73.003635"
LUR	LATUR	"18.429456,76.556339"
LUSA	LUSA	"24.876236,82.843008"
LVR	LOKVIDYAPTH NGR	"27.154324,83.306751"
LW	LORWADA	"24.217223,72.08971"
LWR	ALNAVAR JN	"15.424144,74.738016"
LWS	LUKWASA	"25.110005,77.589912"
LXA	LAKSWA	"27.005608,94.866772"
LXD	LAKSHANNATH RD	"21.841901,87.250843"
LXR	LUNSERIYA	"22.585801,71.036568"
LYD	LAYABAD	"23.773877,86.352367"
MA	MADHA	"18.029832,75.546627"
MAA	MAVAL	"24.432147,72.70031"
MAAR	MALHAR	"27.204259,72.380333"
MABA	MANDI BAMORA	"24.053832,78.082237"
MABD	MAHBUBABAD	"17.597721,79.999952"
MABG	MATANA BUZURG	"0,0"
MABN	MABAN	"24.641556,77.371902"
MACR	MANGULI CHOWDWAR	"20.530094,85.943813"
MAD	MADDUR	"12.604742,77.049522"
MADA	MAONDA	"27.809928,75.828123"
MADM	MATHRADAM HALT	"22.048493,79.451641"
MADR	MADURE	"15.812735,73.808727"
MAE	MATHERAN	"18.989444,73.271111"
MAEL	MAEL	"23.574608,85.625982"
MAF	MANUR	"13.096115,79.801598"
MAG	MANGALAGIRI	"16.437896,80.564632"
MAGH	MANIKGARH	"19.787703,79.398537"
MAH	MADHOGANJ	"27.117813,80.135307"
MAHD	MOHADI PRAGANELALING	"21.293693,79.726067"
MAHE	MAHE	"11.698887,75.546627"
MAHO	MAHOLI	"27.64856,80.476913"
MAI	MEHSI	"26.354728,85.096149"
MAJ	MAJHERGRAM	"23.110049,88.685074"
MAJN	MANGALORE JN	"12.866113,74.87998"
MAK	MALLIKPUR	"22.396745,88.433075"
MAKH	MOKHAMPURA	"26.030255,74.68317"
MAKM	MARARIKULAM	"9.597534,76.317558"
MAKR	MALKHERI	"24.170404,78.223489"
MALA	MALA	"28.592661,79.916782"
MALB	MALIYA MIYANA JN.	"23.10326,70.755043"
MALK	MALKAPUR ROAD	"21.904826,77.967868"
MALM	MANTHRALAYAM RD	"15.948785,77.298946"
MALR	MALLUR	"0,0"
MAM	MANGAL MAHUDI	"22.83574,74.058452"
MAN	MANINAGAR	"22.998338,72.61169"
MANA	MANA	"20.761491,77.469063"
MAND	MANDURAI	"10.873178,78.786306"
MANE	MANESWAR	"21.410964,84.043608"
MANG	MAHANAGAR	"25.251838,88.260212"
MANI	MANI NAGAR	"25.170145,84.2272"
MANK	MANKI HALT	"14.199823,74.480867"
MANU	MANU	"23.993937,92.00655"
MANW	MANWA	"27.219182,80.849934"
MAO	MADGAON	"15.267791,73.970604"
MAP	MORAPPUR	"12.124173,78.393974"
MAQ	MANGALORE	"12.861845,74.843588"
MAR	MULANUR	"12.661945,78.406849"
MARD	MAVUR ROAD	"10.653354,79.636288"
MAS	CHENNAI CENTRAL	"13.0850613,80.2751563"
MASK	MAISAR KHANA	"30.099395,75.13876"
MAU	MAU JN	"25.93929,83.564157"
MAUL	MAULA ALI	"31.17521,75.769444"
MAUR	MAUR	"30.062706,75.22768"
MAV	MARIAMMANKOVIL	"10.773615,79.198551"
MAX	MANGUDI	"10.702611,79.627705"
MAY	MARIAHU	"25.596716,82.597876"
MAYR	MAYAR	"29.100127,75.860767"
MAZ	MANGRA	"23.882228,84.112358"
MB	MORADABAD	"28.831441,78.765621"
MBA	MAHOBA	"25.306554,79.848719"
MBB	MURSHIDABAD	"24.176864,88.281498"
MBC	MAHANANDA BGE	"25.199971,88.076019"
MBD	MUSTABADA	"16.546902,80.731788"
MBE	MIRZAPUR BNKIPR	"22.78726,88.224506"
MBF	MUNABAO	"25.742694,70.276623"
MBG	MAIBANG	"25.30508,93.135481"
MBGA	MARWAR BAGRA	"25.208979,72.594051"
MBH	MOBHA ROAD	"22.158791,72.972221"
MBI	MADHUBANI	"26.348575,86.077194"
MBL	MANUBOLU	"14.226781,79.8773"
MBM	MAMBALAM	"13.037694,80.227704"
MBNL	MARWAR BHINMAL	"25.000683,72.275448"
MBNR	MAHBUBNAGAR	"16.757578,77.999239"
MBO	MAIRABARI	"26.450979,92.421198"
MBP	MOHIBULLAPUR	"26.909595,80.939283"
MBS	MADHOSINGH	"25.249781,82.552128"
MBSK	MARWAR BALIA	"27.358047,74.545326"
MBT	MARWAR BIRTHI	"27.099629,72.290211"
MBU	MELPATTAM BAKKAM	"11.785148,79.623199"
MBV	MIRZAPUR BCHAUD	"28.077887,76.198397"
MBW	MALWARA	"24.787514,72.255363"
MBWC	MORADABAD WEST CABIN	"0,0"
MBY	MANDI DABWALI	"29.966237,74.700165"
MC	MANDAPAM CAMP	"9.281043,79.134507"
MCA	MECHEDA	"22.413885,87.85861"
MCI	MANCHERAL	"18.879245,79.449348"
MCJ	MANJATTIDAL	"10.792417,78.731761"
MCLA	MACHERLA	"16.4696702,79.4384372"
MCLE	MANCHILI	"16.663328,81.614084"
MCN	MUKUNDARAYAPURM	"12.977628,79.289017"
MCPE	MARWAR CHAPRI	"26.778104,73.909321"
MCQ	MIRCHADHORI	"24.292347,82.793913"
MCRD	MECHERI ROAD	"11.804431,77.922077"
MCS	MANCHESWAR	"20.321931,85.844936"
MCU	MULACALACHERUVU	"13.802158,78.264799"
MCV	MACHARYA	"28.772775,78.803902"
MCVM	MACHAVARAM	"16.025603,80.541801"
MCZ	MAHABUANG	"22.717132,84.91951"
MD	MADAR	"26.464734,74.686947"
MDA	MANDHANA JN	"26.557092,80.222597"
MDB	MANDOR	"26.350498,73.041916"
MDBP	MADHABPUR	"22.119557,88.347673"
MDC	MAKARDAHA	"22.628589,88.236008"
MDCR	MASAUDHI COURT HALT	"0,0"
MDDG	MALAD GAON	"18.36202,74.596481"
MDDP	MANDI DIP	"23.093747,77.511077"
MDE	MAKHDUMPUR GAYA	"25.076931,84.978905"
MDF	MURADI	"23.593132,86.80933"
MDG	MANDAL GHAT	"26.430767,88.754768"
MDGR	MANENDRAGARH	"23.219617,82.197604"
MDH	MANDHAR	"21.33767,81.704206"
MDHA	MADHADA	"21.609557,71.908092"
MDJ	MUHAMMADGANJ	"24.42652,83.870058"
MDKD	MADHUKUNDA	"23.62695,86.869411"
MDKI	MADUKARAI	"10.900528,76.94262"
MDKM	MADATTUKULAM	"10.561144,77.347612"
MDKU	MODUKURU	"16.124738,80.583558"
MDL	MANDAL	"25.441104,74.593048"
MDLA	MUNDLANA	"29.212185,76.757612"
MDLE	MANDAR HILL	"24.612375,87.085361"
MDLL	MUDDALINGAHALLI	"13.236604,77.310963"
MDLM	MUNDALARAM	"23.688233,75.102367"
MDN	MIDNAPORE	"22.42535,87.307749"
MDNR	MODINAGAR	"28.827907,77.571716"
MDP	MADHUPUR JN	"24.270753,86.642303"
MDPA	MANDPIYA	"25.261619,74.635963"
MDPB	MADHOPUR PUNJAB	"32.359518,75.595078"
MDPD	MANDAPADU	"16.388332,80.320187"
MDPJ	MADANAPUR HALT	"19.549114,78.189869"
MDPR	MODPUR	"22.271941,69.824953"
MDR	MADHIRA	"16.921426,80.366449"
MDRA	MEDRA	"23.13596,72.712648"
MDRR	MADHAVNAGAR ROAD	"23.804193,80.397949"
MDS	MANDASOR	"24.075697,75.076103"
MDSA	MODASA	"23.452223,73.305244"
MDSE	MADHU SUDANPUR	"22.844658,88.193049"
MDT	MADARIHAT	"26.701798,89.283056"
MDU	MADURAI JN	"9.920197,78.110604"
MDUN	MADHRANAGAR	"0,0"
MDVE	MAHENDRA VADI	"13.022621,79.517841"
MDVK	MAHADEOKHEDI	"24.217692,78.193989"
MDVL	MANDAVALLI	"16.514071,81.15489"
MDVR	MADHAVNAGAR	"16.886565,74.575453"
MDW	MARWAR MUNDWA	"27.063406,73.815765"
MDXR	MUDARIA	"23.359277,81.092319"
ME	MASAIPET	"17.904466,78.46354"
MEC	MERTA CITY	"26.6516299,74.0352238"
MED	MEDCHAL	"17.639605,78.474827"
MEH	MELALATHUR	"12.917903,78.875484"
MEJ	MANIYACHCHI JN	"8.882273,77.890821"
MEKM	MELAKKONNAKKULM	"9.724623,78.466587"
MELH	MELUSAR	"28.222886,74.531937"
MEM	MAU AIMMA	"25.697844,81.91329"
MENP	MEENAPUR	"25.613203,87.774925"
MEP	MAHIDPUR ROAD	"23.567449,75.500278"
MEQ	MALETHU KANAK	"26.60357,82.124691"
MER	METPANJRA	"21.26946,78.659449"
MES	MADURAI EAST	"9.908825,78.134508"
MET	MALERKOTLA	"30.529293,75.871582"
METR	METHI TIKUR	"0,0"
MEU	MENDU	"27.614037,78.099747"
MEW	MARHAURA	"25.968771,84.850674"
MEX	MUKERIAN	"31.941893,75.611858"
MFA	MUKURIA	"25.626088,87.881956"
MFB	MUSTAFABAD	"30.180599,77.122893"
MFH	MAHRAULI	"28.663855,77.468805"
MFJ	MUFTIGANJ	"25.700783,82.827644"
MFKA	MUSAFIR KHANA	"26.379375,81.799607"
MFL	MISRAULI	"26.122151,81.83836"
MFM	MAHALAM	"31.018368,74.706688"
MFP	MUZAFFARPUR JN	"26.122151,85.377846"
MFQ	MAHROI	"23.947351,80.904865"
MFR	MANDLA FORT	"22.586277,80.355721"
MFX	MADARAHA	"25.273727,81.764374"
MFZ	MALAHAR	"25.304149,87.95826"
MG	MODELGRAM	"30.891757,75.836413"
MGAE	MORGRAM	"24.305019,88.018513"
MGB	MUDIGUBBA	"14.349714,77.994776"
MGC	MUGAT	"19.17468,77.427092"
MGD	MUGAD	"15.46278,74.915771"
MGDR	MAGARDHARRA PH	"0,0"
MGE	MIGRENDISA	"25.170922,93.061237"
MGF	MANDAGERE	"12.730438,76.379185"
MGG	MANGLIYA GAON	"22.814954,75.917931"
MGI	MANIGACHI	"26.213359,86.146245"
MGK	MULAGUNNATHUKVU	"10.597339,76.208209"
MGKM	MUNGIAKAMI	"23.878931,91.703911"
MGL	MANGELA	"16.223081,75.749273"
MGLE	MANIGRAM	"24.351163,88.102283"
MGLI	MANGLI	"20.643226,79.665813"
MGLP	MANGOLPURI	"28.684112,77.087116"
MGM	MURAGACHA	"23.529366,88.420973"
MGME	MCCLUSKIEGANJ	"23.652151,84.941225"
MGN	MEGHNAGAR	"22.907329,74.539704"
MGO	MAHISGAON	"18.111674,75.502167"
MGPA	MUNDA GOPAL ASH	"27.255393,81.139183"
MGPI	MAGARPATTI	"0,0"
MGRD	MAGARDOH	"22.247634,77.894268"
MGRL	MANGROLLA	"21.156078,73.181992"
MGRP	MEGH RAJ PURA	"32.079447,76.071469"
MGRR	MAGARPUR	"25.322925,78.859005"
MGS	MUGHAL SARAI JN	"25.278539,83.11964"
MGSJ	MAGNESITE JN.	"11.696323,78.096356"
MGT	MAGRA HAT	"22.242391,88.372993"
MGV	MOLAGAVALLI	"15.357694,77.371731"
MGVK	MALEGAON VYENKU	"21.37572,78.955994"
MGW	MAGARWARA	"26.523575,80.428762"
MGWD	MAHNGARWL DOABA	"31.324955,76.088519"
MGWN	MAHGAWAN HALT	"25.817586,82.696581"
MGX	MAILONGDISA	"25.121973,92.895927"
MGZ	MAHARAJGANJ	"26.108105,84.507372"
MH	MARAHRA	"25.100368,85.446854"
MHA	MARAHRA	"27.746594,78.555164"
MHAD	MOHADI PRGN LNG	"20.862662,74.779444"
MHBG	MAHADEVA BUZRUG	"27.451161,82.87468"
MHBT	MAHBUB NAGAR TOWN HA	"16.742989,77.982759"
MHBZ	MAHTHA BAZAR	"27.391431,82.957249"
MHC	MASRAKH	"26.100109,84.809046"
MHD	MHMDVD KHEDA RD	"22.819226,72.752151"
MHDA	MAHDEIYA	"24.208925,82.592983"
MHDB	MAHADIA PH	"20.751057,85.475993"
MHDP	MAHADEVPARA	"23.677385,72.949562"
MHF	MOHARI	"26.70087271,77.55410492"
MHH	MAGHAR	"26.749903,83.133631"
MHHR	MAHESRA	"28.856702,78.330631"
MHI	MANIHARI	"25.382495,87.621803"
MHJ	MAHAJAN	"28.793387,73.854046"
MHKT	MOHKHUTI	"27.106047,94.80772"
MHL	MAHWAL	"26.327884,85.107307"
MHLN	MAHENDRALAL NGR PH	"22.643165,88.091469"
MHMB	MAHIMBA	"19.420135,78.076572"
MHN	MAHANADI	"26.882421,88.318748"
MHO	MAHPUR	"25.604766,83.246584"
MHOW	MHOW	"22.55505,75.770967"
MHP	MUHAMMADPUR	"26.237228,85.853148"
MHPE	MOHOPE	"18.943675,73.19454"
MHPR	MAHIYARPUR	"25.446065,87.604122"
MHQ	MAHUDA	"23.747011,86.270313"
MHRG	MAHENDRAGARH	"28.281103,76.1483"
MHRI	MACHHRAULI	"0,0"
MHRL	MAHRAIL	"26.294031,86.284733"
MHRN	MAHENDRANATH	"26.001099,84.510269"
MHT	MANJHI	"25.828325,84.584599"
MHTR	MALIHATI TBR RD	"23.79367,88.126144"
MHU	MANHERU	"28.700827,76.202717"
MHUA	MAHUDHA	"22.817169,72.946987"
MHUL	MEHUWALA HALT	"29.411414,75.315228"
MHV	MAHUVA JN	"21.09411,71.756001"
MIA	MANIA	"26.805916,77.91976"
MIAL	MILAOLI	"26.296493,78.121033"
MIAN	MIANGRAM	"23.852872,88.17112"
MIB	NAGPUR (MOTI BAGH)	"21.145592,79.088516"
MID	MADHI	"21.145752,73.24276"
MIG	MIDGHAT	"22.827691,77.647076"
MIH	MIHRAWAN	"25.870808,82.693963"
MIJ	MAJHDIA	"23.414422,88.718891"
MIK	MANIKUL	"22.919978,86.066809"
MIL	MILAK	"28.612405,79.164047"
MILE	FIVEB	"22.509524,88.342811"
MIM	MANIRAM	"26.838317,83.342457"
MIN	MIHINPURWA	"27.98271,81.458087"
MINA	MYANA	"24.85669,77.472324"
MINJ	MAIKALGANJ	"27.71499,80.342503"
MIO	MOLISAR	"28.13149,74.739475"
MIPM	MARRI PALEM HALT	"17.73622,83.252549"
MIQ	MIRHAKUR	"27.149894,77.862682"
MIR	MAIJAPUR	"27.142104,81.774158"
MITA	MITHA	"24.082044,71.671972"
MIU	MARIPAT	"28.587386,77.495928"
MIW	MIGHAUNA	"28.24285,79.826145"
MIYN	MANIYAN	"25.527881,87.603006"
MJ	MARWAR JN	"25.720349,73.609171"
MJA	MEJA ROAD	"25.221365,82.089157"
MJBK	MANJARI BUDRUK	"18.512249,73.971634"
MJBT	MAJBAT	"26.784847,92.288074"
MJE	MUJNAL	"26.693018,89.191647"
MJF	MALKAJGIRI	"17.448022,78.529236"
MJG	MAJHAGAWAN	"24.913529,80.811796"
MJGP	MAJHGAWAN PHATAK	"23.827396,80.398936"
MJH	MAJU	"22.616705,88.078938"
MJHL	MAJADA HALT	"28.462202,78.743649"
MJHR	MAJHIARI	"25.181175,81.553059"
MJL	MAJHOWALIA	"26.802392,84.618759"
MJN	MAKUM JN	"27.486192,95.441408"
